,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1858,3275,56.7,334,859,38.9,136,359,37.9,1064,3010,35.3
Boston Celtics,1606,2687,59.8,484,1100,44,329,809,40.7,1032,2820,36.6
Brooklyn Nets,1773,3197,55.5,349,843,41.4,138,360,38.3,1040,2940,35.4
Charlotte Hornets,1690,3081,54.9,386,883,43.7,244,618,39.5,975,2743,35.5
Chicago Bulls,1848,3331,55.5,408,1031,39.6,267,725,36.8,743,2104,35.3
Cleveland Cavaliers,1584,2914,54.4,468,1133,41.3,291,751,38.7,846,2374,35.6
Dallas Mavericks,1626,2768,58.7,361,884,40.8,173,471,36.7,1021,2971,34.4
Denver Nuggets,1884,3288,57.3,447,1003,44.6,211,532,39.7,896,2543,35.2
Detroit Pistons,1687,3099,54.4,285,759,37.5,221,528,41.9,992,2820,35.2
Golden State Warriors,1550,2428,63.8,511,1094,46.7,464,1016,45.7,1085,2804,38.7
Houston Rockets,1608,2756,58.3,207,510,40.6,82,181,45.3,1320,3706,35.6
Indiana Pacers,1810,3124,57.9,353,845,41.8,449,1088,41.3,777,2066,37.6
LA Clippers,1834,3278,55.9,456,1077,42.3,275,712,38.6,819,2093,39.1
Los Angeles Lakers,2110,3522,59.9,285,768,37.1,249,597,41.7,847,2526,33.5
Memphis Grizzlies,1633,2888,56.5,410,1009,40.6,260,659,39.5,810,2352,34.4
Miami Heat,1784,3081,57.9,372,1018,36.5,167,465,35.9,927,2634,35.2
Milwaukee Bucks,2018,3270,61.7,279,672,41.5,153,398,38.4,1105,3120,35.4
Minnesota Timberwolves,1827,3206,57,409,1015,40.3,355,913,38.9,822,2332,35.2
New Orleans Pelicans,2102,3520,59.7,460,1078,42.7,183,524,34.9,835,2428,34.4
New York Knicks,1611,2961,54.4,359,978,36.7,344,888,38.7,820,2404,34.1
Oklahoma City Thunder,1924,3362,57.2,400,1053,38,242,619,39.1,929,2650,35.1
Orlando Magic,1593,2741,58.1,411,995,41.3,376,940,40,936,2608,35.9
Philadelphia 76ers,1798,2989,60.2,428,1038,41.2,294,737,39.9,887,2456,36.1
Phoenix Suns,1753,2999,58.5,482,1104,43.7,265,664,39.9,788,2382,33.1
Portland Trail Blazers,1834,3218,57,389,886,43.9,343,806,42.6,904,2509,36
Sacramento Kings,1862,3273,56.9,438,1114,39.3,316,797,39.6,925,2436,38
San Antonio Spurs,1490,2505,59.5,654,1482,44.1,512,1191,43,812,2054,39.5
Toronto Raptors,1802,3049,59.1,383,881,43.5,261,607,43,1014,2752,36.8
Utah Jazz,1845,3101,59.5,290,738,39.3,186,452,41.2,992,2771,35.8
Washington Wizards,1895,3070,61.7,339,849,39.9,293,737,39.8,928,2717,34.2